image,word,image2,word2,image3,word3
boy.png,buachaill,boy2.png,buachaill,boy3.png,buachaill
girl.png,cailín,girl2.png,cailín,girl3.png,cailín
woman.png,bean,woman2.png,bean,woman3.png,bean
man.png,fear,man2.png,fear,man3.png,fear
apple.png,úll,apple2.png,úll,apple3.png,úll
water.png,uisce,water2.png,uisce,water3.png,uisce
bread.png,arán,bread2.png,arán,bread3.png,arán
menu.png,biachlár,menu2.png,biachlár,menu3.png,biachlár
milk.png,bainne,milk2.png,bainne,milk3.png,bainne
rice.png,rís,rice2.png,rís,rice3.png,rís
newspaper.png,nuachtán,newspaper2.png,nuachtán,newspaper3.png,nuachtán
book.png,leabhar,book2.png,leabhar,book3.png,leabhar
sandwich.png,ceapaire,sandwich2.png,ceapaire,sandwich3.png,ceapaire
